,default
5865,0
30622,1
16517,1
32434,1
23778,0
1241,1
32291,1
1942,0
12436,1
36440,1
1430,0
20661,0
20621,0
35087,0
26187,1
3536,1
14388,1
18582,1
24725,0
15939,1
2713,1
9885,0
35527,0
9832,0
20229,1
9751,1
15398,0
3396,1
35137,0
9575,0
23752,1
29911,1
22872,1
5487,1
14970,1
4173,0
24491,1
20654,0
16190,1
17773,0
27154,1
6035,0
10374,0
34325,0
22090,1
20740,0
3408,1
17326,1
21126,0
27723,1
36051,1
2463,1
21697,0
35773,0
4006,0
19103,1
30142,1
10129,0
22053,1
19658,1
352,1
1443,1
26343,1
615,1
11115,0
13010,1
31895,1
4632,1
29356,1
23332,1
17700,1
25917,1
14210,0
36069,0
36046,1
17563,1
12332,0
4198,0
15758,1
21086,1
12355,0
9789,0
33278,1
9931,0
27530,1
21824,0
26440,1
36325,0
26435,1
24784,0
11425,0
16189,0
4221,0
24762,0
16333,0
4609,1
33338,1
34013,1
27651,1
18501,0
12875,0
32704,1
24627,0
11272,0
29108,1
21630,1
6087,0
22492,0
2924,1
31863,1
3384,1
28498,1
32071,0
8107,1
10877,1
9154,1
13766,0
7938,1
967,1
33395,1
27700,1
25627,0
34260,0
14924,1
10732,1
30250,1
13661,0
16714,1
779,1
500,0
12966,0
33960,1
25967,1
12895,1
27465,1
5696,1
7800,1
13559,1
23741,0
23588,0
16026,1
15712,0
31271,1
9571,0
32686,1
12826,0
25863,1
28383,1
1802,0
25436,1
33233,1
9296,1
3397,1
21277,1
24691,0
31751,0
6093,0
13514,1
10778,1
7753,1
21989,0
23631,0
26513,1
834,1
18687,0
15271,0
23360,1
22440,1
27059,1
1182,1
284,1
3711,0
26249,1
17654,0
34597,1
14854,1
7438,1
25792,0
35235,1
9049,0
1920,0
17279,1
5666,0
24550,0
29114,1
23529,1
26120,1
24755,0
32406,1
35707,0
11866,1
22356,1
20013,1
714,1
10932,1
7626,1
23811,0
9155,1
5739,0
13587,1
12458,0
24442,0
8186,1
29721,1
21500,0
30533,1
11104,0
16931,0
28315,1
19455,0
2215,0
28325,1
29869,0
22675,0
31217,1
869,1
13968,0
10292,0
36308,0
36153,0
24634,0
20378,0
24598,0
36415,0
9058,0
25159,0
19688,1
30862,0
35484,0
28952,0
23410,1
12735,0
11065,0
27565,1
18388,0
21627,0
4003,0
21757,0
19759,1
14766,1
29020,1
30605,1
13707,0
30661,1
20965,1
26376,0
27564,1
35035,0
30285,1
33989,1
32368,1
27136,1
89,1
5371,1
2422,0
30407,1
17821,0
28419,0
2355,0
13886,0
97,0
17182,1
19313,1
7669,0
15724,0
27111,1
29050,1
4021,0
7458,0
15851,1
3280,1
35055,0
33772,0
28790,0
7336,0
25371,1
7789,1
13400,1
32215,0
28176,0
9077,0
14717,1
5752,0
31496,0
18553,1
8016,1
10346,1
20429,1
14002,0
31450,1
9153,1
21481,1
16309,0
9838,0
11372,0
8752,0
526,1
13367,1
34313,0
25098,0
14438,1
16793,0
16453,0
1937,0
10972,0
14262,1
4378,1
26452,1
36188,0
35563,0
32250,1
18397,1
22554,0
4441,0
24880,0
18699,1
31786,0
30745,1
27686,1
16694,0
32350,1
6745,1
24864,0
20809,1
2799,0
3336,1
34609,0
18853,0
26854,1
20496,0
36033,0
29699,0
10118,0
4362,0
26204,1
11187,0
21132,1
2302,0
20329,1
7528,1
15986,1
24296,0
13855,0
5791,0
30540,1
34294,0
29610,0
30267,1
17240,1
15299,0
27680,1
21774,0
8986,1
14325,1
3372,1
7521,0
20118,1
11238,0
24842,0
22221,1
18082,0
24754,0
21447,1
156,0
4144,0
1140,1
35688,0
7855,0
14922,1
6343,1
19940,1
13258,1
25654,0
21021,1
7851,1
21998,1
19935,1
20345,1
2468,0
22897,1
28856,0
4886,0
4997,1
34938,0
18611,1
32503,1
23672,0
32189,1
4052,0
22249,1
27676,1
26989,1
5063,1
16120,1
19025,1
36351,0
13100,1
18633,0
35368,0
3605,1
3631,1
21997,1
10529,1
27279,1
32995,1
21058,1
6169,1
16939,1
35856,0
8526,0
20197,1
15594,0
12474,0
35594,1
2301,0
19140,1
4490,0
30262,1
25896,1
29346,0
7876,1
12615,0
4222,0
4538,0
21905,0
35770,1
34566,0
23627,0
6570,0
18607,0
35911,0
35081,0
18743,1
30014,1
12336,0
18780,0
28028,1
24122,0
35778,0
10175,1
19510,0
31774,0
21125,1
9536,0
16145,1
5445,1
22198,1
25497,1
5680,0
24164,0
35256,0
13611,1
11082,0
29537,0
32175,1
9262,1
1200,1
3271,0
27438,1
32982,1
18562,1
34101,0
2207,0
12256,0
1739,0
5437,1
15993,1
36419,1
8142,1
2665,1
29722,0
29795,1
22987,1
19354,0
22498,0
13833,1
14240,0
231,0
13636,1
14856,0
2712,1
36456,1
16389,0
14883,1
7211,0
25246,1
35613,0
30664,1
26958,0
7101,0
1888,0
14373,1
11951,1
8908,1
31861,1
26319,0
30233,0
30234,1
33864,0
35075,0
6578,1
25723,0
21862,0
8914,0
29465,0
25499,1
1068,1
21690,0
32625,1
9235,1
33440,1
4698,0
19245,1
32703,1
18643,1
14801,1
11803,1
8006,1
12123,1
21374,1
24398,0
22970,1
34339,0
5213,1
21354,1
10205,1
29822,0
26092,1
8545,0
25031,0
4736,1
11203,0
1637,0
17253,1
6889,0
1961,0
6543,1
438,0
5959,0
4950,1
27353,1
22890,1
10911,1
4327,0
392,1
7493,0
7646,0
23101,1
2846,0
14280,0
19235,0
19833,1
21396,1
6390,0
5005,1
8767,0
21571,0
16263,0
32783,1
24484,0
26617,1
35781,0
9314,1
33571,1
11589,0
2440,0
20069,1
18996,1
33619,1
10609,1
4026,0
32167,1
21043,1
12291,0
35545,1
35817,0
30996,1
14430,1
9220,1
36090,1
13616,0
19011,1
10916,1
2202,0
13217,1
10795,1
13393,1
19117,1
24714,0
20869,1
3737,0
14086,1
30015,1
34153,1
3334,1
26239,0
33409,1
4545,0
23536,1
5171,1
31659,1
22304,1
26624,0
8855,0
18899,1
2973,1
12407,0
20550,0
16894,1
30150,1
19858,1
13734,0
24099,0
6852,0
30716,1
5852,0
26534,1
7199,0
13990,0
24942,0
24618,0
10629,1
29416,0
33305,1
146,0
22634,0
3899,0
12365,0
15284,0
4554,1
35536,0
8508,0
25257,0
23169,0
3663,1
11444,0
22176,1
630,1
10186,0
34061,1
28961,1
31921,0
13229,1
13224,1
13951,0
14268,0
31716,0
11385,0
29306,1
11259,0
22073,0
25167,0
21336,1
6916,0
35716,1
23617,0
31600,1
4905,1
35505,0
36445,1
10860,1
10032,1
5629,1
8163,1
25345,0
31125,1
29429,0
4031,0
3468,1
22757,0
31414,1
10271,1
13588,0
21720,1
36457,1
27975,1
11156,0
14829,1
15506,0
1032,1
27218,1
14081,0
26152,1
2971,1
27731,1
5406,1
31726,0
15113,1
27973,1
23013,1
33392,1
9467,0
28282,1
30884,0
6276,0
21334,1
28356,1
8934,0
17518,1
33878,0
9736,0
15701,0
18983,1
14258,1
8924,1
19661,1
23947,0
32238,1
8207,1
29298,1
29303,1
7819,1
11037,1
16160,1
22194,1
4999,1
13864,0
18615,1
1218,0
266,1
24592,0
8619,0
33375,1
28560,1
3220,1
1552,0
27986,1
8601,0
18299,1
32477,1
15029,1
33313,1
35611,0
19755,1
16010,1
32466,1
4818,1
16371,1
16088,1
9157,1
30037,0
31957,0
24320,0
2554,0
26721,0
1240,1
517,1
30027,1
18767,0
31475,1
12432,0
34109,0
34048,0
25491,0
16079,1
6234,0
1527,1
1695,0
35559,0
12230,0
21507,0
27282,1
32348,1
30387,0
25522,0
33843,0
7597,1
30370,1
7520,1
34416,1
6375,1
36372,0
34915,0
10218,0
35743,0
8661,0
22529,0
35416,0
35854,0
35197,1
22023,0
12001,1
26614,1
29335,1
18479,0
31153,1
8965,0
1775,0
16163,1
36140,0
16875,1
34329,1
24472,0
525,1
35190,0
30631,1
5783,0
27588,1
3608,0
19459,0
4657,1
25309,1
35593,0
9406,1
32101,1
8422,1
2597,0
6770,1
21351,1
28382,1
31502,0
14919,1
14230,0
24534,0
19754,1
2826,1
5989,1
5030,1
13401,1
35171,0
35318,1
16273,0
11958,1
1111,1
22038,1
24245,0
7435,1
22424,1
24793,0
26462,0
15170,1
10664,1
26710,0
24431,0
15067,1
25878,0
13663,0
31878,1
828,1
5918,0
8849,0
914,1
25164,0
20790,0
15069,1
25328,1
30067,1
17115,1
25866,0
16940,1
33964,0
30928,0
32439,1
5995,0
11330,0
4122,0
34031,0
5071,1
10365,1
22174,1
10181,0
4995,1
31067,0
17788,0
14062,0
542,0
2288,0
3063,0
4787,0
18259,1
17151,1
14648,1
24207,0
24347,0
12778,1
11368,0
11178,0
27338,1
35499,0
7363,0
35775,0
21070,1
27682,1
5755,0
14507,1
32338,1
4035,0
12771,0
19969,1
1481,1
532,1
32618,1
5055,1
8909,0
16343,0
1624,0
8139,1
7673,0
27596,1
27713,1
16286,1
1208,0
36026,0
11850,1
23397,0
9590,0
14559,1
4704,1
14729,0
18808,1
15136,1
7945,1
20341,0
26892,1
31253,1
3908,0
9870,0
25079,0
28661,1
1248,0
14778,1
24268,0
33299,1
8374,0
35868,0
35198,0
12411,0
13823,0
3286,1
6110,0
26701,1
10722,1
19080,1
20022,1
9543,0
22099,1
13710,0
23980,0
14275,1
8447,0
9817,0
9357,1
5240,1
3136,1
35602,1
7593,1
29921,0
27978,1
29642,0
8746,0
31781,0
28638,1
10815,1
8587,0
36215,0
14480,1
21635,0
20953,1
9430,1
6888,0
36132,0
19360,0
18706,1
25850,0
14880,1
26591,1
6477,1
31489,1
25081,0
20968,1
10263,1
1192,1
5479,1
19502,0
28535,1
3514,1
32928,1
26942,1
5473,1
29350,0
35827,0
11231,0
29671,1
9142,1
3138,1
11499,1
26080,1
14543,1
15749,1
21799,0
10087,0
2565,1
35052,0
11722,1
31801,0
1456,0
28657,1
8271,1
783,1
25629,0
6928,0
17985,0
12482,0
18029,0
28322,1
18439,0
14841,1
18126,0
28897,0
24404,0
14913,1
29088,1
13667,0
35597,0
27456,1
28476,1
19730,1
30510,1
1034,1
9422,1
10083,1
12841,1
21628,0
28871,1
7178,0
15118,1
29387,0
19350,0
23422,0
25485,0
3664,0
14635,1
32222,1
17728,0
18223,1
1770,0
29975,0
31056,0
3736,0
12817,0
9761,0
10176,1
21123,1
12353,0
36378,1
6607,1
36431,1
35885,0
31040,1
30967,0
18905,1
25480,1
7196,0
24081,1
27892,1
17231,1
7359,0
1455,0
24564,0
11229,0
34382,0
33059,1
21574,0
9539,0
16565,0
33441,1
3243,1
25603,1
15837,0
25463,1
580,0
4810,1
25430,0
1772,0
19202,0
18957,1
24389,0
17227,1
6231,0
14018,0
33529,1
25272,0
5899,0
35872,1
5846,0
34568,0
17154,1
15625,0
197,0
32349,1
32031,0
17136,1
11673,1
5825,0
34946,0
11620,1
31184,0
15141,1
2717,1
9672,0
8075,1
3160,1
19684,1
29784,0
13908,0
14576,1
36002,0
17109,0
25334,0
16183,1
11124,0
18233,0
28777,0
18263,0
35883,0
3343,1
30526,1
8400,0
33240,1
4372,0
548,0
10128,0
28959,0
31869,0
1325,0
22927,1
9003,1
31661,1
30866,0
32296,1
34857,0
8853,0
11133,0
18958,1
22680,1
24009,0
21843,0
31402,1
35864,0
12967,0
9924,0
29179,1
7155,1
17793,1
1109,1
7542,1
10160,0
21029,1
10907,1
30260,1
23923,0
5939,0
22015,1
24934,0
4755,0
34202,0
24601,0
17567,1
5854,0
27,0
15819,0
22449,1
11949,1
29295,1
18993,1
15938,0
31394,1
32354,0
7846,0
14175,0
6921,0
6447,0
11485,0
26007,1
20803,1
36375,0
18026,1
28336,1
1216,1
30428,1
568,1
26946,1
1634,0
14633,1
3843,1
30945,0
5308,0
17856,0
33613,1
24488,0
27541,1
12391,0
6235,1
13632,0
23383,1
12154,0
10318,0
12884,1
11934,1
34074,1
15590,0
9561,0
34255,0
2726,1
25938,1
35776,0
12131,1
31948,0
9949,0
14898,1
9403,1
13325,1
20100,1
6894,0
17127,1
18667,1
32942,1
28444,0
11356,0
34898,0
18478,1
1408,0
11924,1
8901,0
35890,0
3208,1
7818,0
6145,0
27457,1
25397,0
24281,1
28836,0
22870,1
1377,0
36071,1
27022,1
10254,0
23037,1
22527,0
2532,0
36379,0
18949,1
6917,0
13865,1
10812,1
21426,0
7323,0
21066,1
23406,1
26977,1
30813,0
19055,1
18857,1
21845,0
327,1
14502,0
24236,0
22376,1
439,1
7731,0
30689,1
16835,0
29000,0
14468,0
25508,0
4518,0
26821,1
26885,1
32050,1
32199,1
8722,0
31915,1
12279,0
8366,1
18522,0
544,0
1531,0
14207,1
4393,0
20806,0
35229,0
16806,1
8045,1
2816,0
23309,0
21535,0
27805,1
1943,0
10635,1
22453,1
5358,1
4845,0
27365,0
14491,0
11508,0
7079,0
12134,1
1137,1
19244,0
8195,0
10325,0
1386,0
25041,0
17665,0
7622,0
27949,1
19241,1
30359,1
27736,1
5795,0
9064,1
19590,0
24184,0
21438,0
19263,0
13770,0
25252,0
16619,0
8210,1
6383,1
20017,1
28674,1
20294,1
15092,1
11222,0
700,0
7569,1
34257,0
5769,0
28064,1
29705,1
4568,1
1579,0
25486,1
815,0
11554,0
23215,0
21076,1
35865,1
8402,0
17144,1
21654,0
17438,1
29547,0
19473,0
20414,0
36478,1
28520,1
21681,0
18231,0
2689,1
14500,1
7791,1
20717,0
24087,0
34320,1
25327,0
18792,1
3492,1
34802,1
9152,1
24151,0
3179,1
11809,1
2949,1
26280,1
11654,1
7096,0
24196,0
23872,0
8497,0
13119,1
4304,0
7031,0
30660,1
30812,0
17077,1
19453,0
34122,0
34363,0
3837,0
32547,1
32132,1
35998,1
2753,1
11363,0
33977,0
24846,0
25163,0
9381,1
1953,0
3692,0
14979,1
16919,1
30383,1
27559,1
8014,1
32518,1
24877,0
27481,1
25571,0
12229,0
2576,0
34925,0
26733,1
31739,0
10883,1
21739,1
23766,0
555,1
33422,1
19584,0
19697,1
6982,0
23170,0
5824,1
19726,1
23641,0
25977,0
164,1
5056,1
9835,0
1154,1
18758,1
18707,1
28782,0
4207,0
21297,1
33764,0
15062,1
30221,1
11292,0
32221,1
21610,0
32534,1
8865,0
29509,0
27453,1
13205,0
11135,1
35272,0
5415,1
18194,1
4376,0
27401,1
6418,1
223,1
27944,1
26828,1
23480,1
8403,0
35581,0
31346,1
25367,0
15362,0
19615,1
5896,0
22214,1
30213,1
28100,0
359,1
17352,1
14158,1
15222,0
33074,1
12887,0
19131,1
15436,0
33022,1
7066,1
31645,1
33858,0
1011,1
13601,0
9564,0
974,0
7659,0
6259,0
10463,1
35812,0
30940,0
13562,1
13030,0
11736,0
1666,0
11849,1
29031,1
4134,0
18181,0
26093,1
25121,0
6192,0
11396,0
15283,1
31677,1
34457,0
25017,0
7759,1
20301,1
19770,1
28699,1
26800,1
12030,1
844,1
23367,1
23363,1
15025,1
26054,1
3486,1
25269,0
34941,0
3041,1
11988,1
12086,1
32667,1
29442,0
7293,0
24539,0
31729,0
8981,1
16307,0
32844,1
33262,1
30192,1
7694,0
6346,0
34295,0
26497,1
17050,0
25344,0
34603,0
20290,1
1963,0
26980,1
29777,1
5436,1
10154,0
8314,1
20006,1
26317,1
16117,1
25176,0
11645,1
15323,0
8257,1
25116,0
18525,0
27178,1
18645,0
15429,0
19072,1
23924,0
23113,1
36350,0
18410,0
14001,0
32987,1
28914,0
890,1
22819,1
8377,0
1409,1
7582,0
14685,1
27534,1
10443,1
27698,1
30546,1
483,1
2643,1
1176,1
9797,0
5097,1
31488,1
15071,1
32969,1
31127,0
16637,0
28594,1
22020,1
2714,1
33632,1
16167,1
17836,0
13848,0
34956,0
1738,0
14711,1
19838,1
14901,1
7838,0
25474,1
1538,0
10727,1
29561,0
20946,0
31867,1
20973,1
30077,1
30840,0
28140,0
31205,0
14441,1
6882,1
816,0
3925,0
128,0
14705,1
35667,1
35076,1
10729,1
18757,1
12360,0
5237,1
32081,1
4149,0
31324,1
14050,0
32538,1
9999,0
2425,0
1029,1
14582,1
28868,0
4303,0
21457,0
7979,1
9359,1
36114,0
790,1
4744,0
12689,0
20416,0
26949,1
15885,1
29669,0
11814,1
33340,1
6981,1
21340,1
28074,0
2485,0
31301,1
13146,1
34105,1
28736,1
20264,1
281,1
17967,0
27672,1
21861,0
21770,0
14332,0
15343,0
12520,0
27341,1
8057,1
35687,1
30721,1
6613,1
23259,1
25139,0
8467,0
33266,1
4191,0
27568,1
7654,0
13698,0
20706,0
10068,1
12234,0
5999,0
13561,0
32841,1
8851,0
34960,0
25111,0
27717,0
9409,1
30499,1
24719,0
15502,0
35548,0
18374,0
30924,0
22894,1
17479,1
504,1
5426,1
33013,1
11948,1
28799,0
14821,1
12655,1
28815,0
14945,1
6870,0
12162,0
32600,1
35349,0
22328,1
10879,1
8462,0
9326,1
14808,1
32900,1
21558,0
6228,1
9025,1
12890,0
32905,1
12174,1
7140,0
24158,0
31695,0
8917,0
20208,1
1238,0
29566,0
36395,1
2732,1
31142,1
1991,0
34383,1
28750,0
4848,1
19438,0
11180,1
939,1
23436,1
24240,0
29187,1
20960,1
29118,0
12551,0
30983,0
23612,0
6198,0
16458,0
16322,0
16024,1
14815,1
6825,0
2999,1
13796,0
35340,0
27590,1
1483,1
32869,1
2625,0
1259,0
16501,0
8838,0
29109,1
13893,0
34643,0
23491,0
18790,1
14670,1
19949,1
26085,0
8928,0
35791,0
23524,1
12361,0
26145,1
9766,0
24026,0
24249,0
23181,0
21454,1
3471,1
10058,0
27294,1
36109,1
20072,1
3510,1
2620,1
10266,1
17102,0
19481,0
27697,1
928,1
19859,1
19769,1
1363,0
11251,0
16356,1
19458,1
27543,0
8753,0
1851,0
4717,1
2206,1
4065,0
30723,1
30214,1
13301,1
14656,1
937,1
4165,0
22159,1
3062,1
23214,0
30503,1
22765,1
25811,0
18550,1
32858,1
13210,1
23687,0
9737,0
3966,0
7560,1
24228,0
15786,0
571,0
22052,1
8935,0
4877,0
27896,1
21641,0
11472,0
5781,0
15733,0
24697,0
6479,1
31162,1
22763,1
4471,0
687,1
4452,1
32276,1
2997,1
31033,0
10716,1
8841,0
21023,1
16795,1
9630,0
30936,0
26780,1
27259,1
5105,1
8902,1
2900,1
35653,0
16306,0
34660,0
33538,1
10321,1
218,1
23059,1
24048,0
14764,0
23054,1
16485,0
16424,1
8977,0
29,0
26770,1
24160,0
19614,0
22245,1
22150,1
2789,1
18911,1
12629,0
3794,0
34044,0
15260,0
34040,0
27103,0
11717,1
34180,0
17453,1
2285,0
32102,0
32631,1
6047,0
9883,0
21745,0
33479,1
14929,1
20891,1
13424,1
18466,0
16216,0
805,1
21587,0
28438,1
25903,0
3488,1
13426,1
34199,1
11388,0
29485,0
10015,0
9992,0
449,0
34799,1
17428,1
28368,1
14869,1
3856,0
7613,1
14849,1
22495,0
7749,0
17295,1
7027,1
28293,1
12627,0
35248,0
2321,0
6128,0
4348,0
21429,1
543,0
10356,0
25349,0
26866,1
14283,0
26117,1
4580,0
1986,0
36401,1
2012,0
11237,0
9951,0
747,1
6976,0
22466,0
34675,0
10226,1
13196,1
15315,0
26862,0
16112,0
15146,1
31986,0
33280,1
28814,0
927,0
13363,1
19452,1
23024,1
19857,1
34323,1
31551,0
16408,0
7961,1
13126,1
18189,0
3416,1
4469,0
28246,1
4506,0
18844,1
30502,1
19287,0
35100,0
29564,0
30652,1
4145,0
1587,0
19665,1
12845,0
3032,1
25737,0
13266,1
22756,1
5912,0
29323,1
35423,1
34525,0
7807,0
26959,1
36162,1
24705,0
23303,0
5863,0
24360,0
25649,0
27897,1
11390,0
33644,1
5215,0
29689,1
24903,0
26345,0
2533,0
11716,1
35069,0
24666,0
23297,0
5232,1
14918,1
10148,0
10249,1
8059,1
24102,0
25830,1
22782,1
12493,0
12444,0
35147,0
2610,0
23417,0
22625,0
26464,1
14693,0
9610,0
7715,1
4955,1
36208,1
18646,1
17798,0
23555,0
25880,0
25411,0
18203,0
10912,1
30108,1
12896,0
15282,0
24105,0
32377,1
24637,0
21081,1
30524,1
30426,1
29796,0
5804,0
13453,1
29374,0
21296,1
25695,0
21764,1
20843,1
35889,0
5676,0
31951,0
9844,0
14787,1
4789,0
34280,0
10968,1
12049,1
22071,0
33423,1
12863,0
28087,0
17382,1
20873,1
27567,1
20188,1
4,0
4228,0
14632,1
31247,1
15927,1
28328,1
31990,1
26026,0
1619,0
12980,0
4280,0
30420,1
15066,1
6202,1
22314,1
25434,1
3026,1
36296,0
18028,0
13943,0
11935,1
34730,0
34939,0
22804,1
12599,0
35201,0
15996,1
7067,0
7538,0
15390,0
19115,1
5145,1
18056,0
5193,1
28434,1
10873,1
16857,1
35861,0
4085,0
27654,0
25042,0
17082,0
19248,0
17172,1
28550,1
5122,1
28540,1
1949,0
18179,0
33288,1
33667,1
35469,1
13998,0
5826,0
9446,1
2748,1
24299,0
17903,0
22913,1
24551,0
31285,1
19070,1
25731,0
16287,0
19962,1
8912,0
10861,1
16108,1
33995,0
33170,1
28510,1
30603,1
4261,0
15776,0
16418,0
4838,0
34351,0
34860,0
21793,1
25258,1
1413,1
30931,0
34630,0
36068,1
16204,0
9029,0
36394,1
27887,1
9079,1
10368,0
20391,0
34177,1
30187,1
33293,1
34322,0
13413,1
11078,0
34358,0
7672,0
12443,0
35339,0
6831,0
2861,1
35845,0
3101,1
22252,1
20520,0
1967,0
4557,0
35717,0
21886,1
19022,1
11215,0
14590,1
14379,0
12832,0
29616,0
19811,0
4277,0
14876,1
9611,0
9070,1
20877,1
17396,1
16968,1
16728,0
18228,0
32453,1
27404,1
29307,1
36209,0
17865,1
23743,0
24604,0
19506,0
15816,1
30047,1
16592,0
29223,1
22940,1
19332,1
18662,1
23545,0
14493,0
10353,0
3473,1
34046,0
32088,1
1873,0
11868,1
8435,0
5123,0
21547,0
5962,0
13714,0
21261,1
12813,0
34082,1
6002,0
23883,0
31451,1
24462,0
31395,1
5514,1
29453,0
28011,1
9591,1
1612,0
16334,0
15044,1
19595,0
25138,0
8053,1
24715,0
1288,0
20337,0
15311,0
11872,1
32697,1
6624,1
36212,1
24223,0
30755,1
12367,0
21844,0
22473,0
17542,1
29489,0
20850,0
27576,1
34623,1
3972,0
24381,0
11299,0
12987,1
26341,0
35944,1
2986,1
22828,0
26948,1
29377,0
10280,0
23183,1
27537,1
33465,1
30437,1
29841,1
36253,0
16295,0
17951,0
20653,0
31387,1
596,1
4665,1
15228,1
13329,1
7035,0
21967,0
17421,1
33383,1
9547,1
10659,1
19156,1
5347,1
16331,0
29493,1
6440,1
33593,1
34996,1
15761,1
32615,1
22694,1
18448,1
28885,0
28156,0
6306,0
24090,0
24870,0
21362,1
35103,1
31439,1
22460,1
34337,0
12281,0
24140,1
15641,1
5675,1
21191,0
9480,0
33537,1
1604,0
1609,0
13024,1
31429,1
29274,1
27480,1
12026,1
31530,0
30452,1
3445,1
33883,0
26362,1
32425,1
1475,1
23932,0
8979,1
7168,0
27017,0
20591,0
15832,0
30072,1
32258,1
26175,0
18018,0
24351,0
13242,1
611,1
91,0
1161,1
11588,1
21164,1
6113,0
32214,1
116,0
35025,1
3924,0
16725,0
11740,1
18186,0
34904,0
1749,0
35297,1
3370,1
5529,1
10156,0
27822,1
31116,1
4918,1
20927,0
26448,1
34420,0
3084,0
2115,0
20014,1
29592,0
14753,1
15697,0
32662,1
14091,0
15122,1
3744,0
33810,0
18140,0
19585,0
24436,0
8096,1
25704,0
8506,0
35311,0
1716,0
22965,1
29003,0
1993,0
33971,0
33351,1
34454,0
3720,1
7350,0
32099,1
33675,1
1837,0
11997,1
30727,1
21175,1
14621,1
9161,0
32309,1
10539,1
15565,0
579,1
21085,1
10573,1
22585,0
36087,1
25238,0
26531,1
27142,1
793,1
21601,1
7098,0
11521,0
6598,1
10690,1
4979,1
20020,1
40,1
27930,1
31172,1
24981,0
26193,1
23785,0
4318,0
27095,1
18547,1
4274,0
16739,0
35996,1
25861,0
20857,1
22994,1
10078,0
18148,0
977,1
6683,1
33205,1
10650,1
20528,0
33400,1
7866,1
7287,0
30278,1
18747,1
10730,1
8593,0
35269,0
31156,1
12657,0
15865,1
26010,1
20450,0
5356,1
26393,0
21670,0
22845,1
12314,0
23028,1
19282,0
23727,0
21062,1
26845,1
22844,1
25810,0
29752,1
27505,1
19417,1
32990,1
18425,0
9762,0
28969,1
26091,1
16419,0
23961,0
14634,1
3548,1
30565,1
25642,1
34188,0
15187,1
848,1
17397,1
10173,0
3489,1
6315,1
11309,0
17093,1
11506,1
27751,1
12109,1
32574,1
20088,1
5775,0
1804,0
30128,1
19273,0
7492,0
1557,0
18402,0
19135,1
8859,0
25999,0
33751,0
32552,1
33070,1
2184,0
28780,0
35971,1
18862,1
27343,1
31136,1
955,1
22688,0
29339,1
19056,1
7474,0
34516,0
32415,1
29647,0
2662,0
1303,1
27573,1
29170,1
21851,1
16440,0
5821,0
29105,1
20476,0
22777,1
27645,1
20287,1
4367,0
7021,0
27599,1
32724,1
2829,0
6821,0
26546,1
3159,1
29314,1
29060,0
33081,1
22624,0
26748,1
2779,1
2901,1
1353,0
24468,0
22457,1
32768,1
7421,1
10611,1
6046,0
4416,0
19953,1
10853,1
5203,1
14179,1
30157,1
13568,0
16159,1
35628,0
4706,1
21218,1
15405,0
36003,1
31309,0
33318,1
16165,1
5785,0
31907,0
35881,1
9230,1
27846,1
14076,0
31623,1
2239,1
34992,0
1147,1
28060,0
32519,1
5515,1
23983,0
34213,0
1812,0
31707,0
33249,1
13304,1
31076,0
6673,1
15393,0
2329,1
20058,1
2813,1
31420,1
17483,1
33634,1
16755,1
16403,0
8782,0
9903,0
9815,0
25091,1
4151,0
24023,0
24595,1
21956,1
2936,1
18235,0
22476,1
25699,0
34076,0
7485,0
23470,1
15333,0
9177,1
1326,0
14937,1
15505,0
